OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,CAPACITYKV,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,SHAPE_Length
11,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,11,Bulli Creek to Dumaresq,Operational,330,Queensland,5,20120710,,1.524833773
12,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,12,Biloela Tee to Callide A Power Station,Operational,132,Queensland,5,20120710,,0.138787593
13,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,13,Baralaba to Callide A Power Station,Operational,132,Queensland,5,20120710,,0.772231454
14,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,14,Middle Ridge to Postmans Ridge,Operational,110,Queensland,5,20120710,,0.176920058
15,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,15,Middle Ridge to Broxburn Tee,Operational,110,Queensland,4,20120710,,0.312156094
16,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,16,Yarranlea to Broxburn Tee,Operational,110,Queensland,4,20120710,,0.156432517
17,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,17,Columboola to Roma,Operational,132,Queensland,5,20120710,,1.450696448
18,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,18,Millmerrin Power Station to Millmerrin,Operational,330,Queensland,5,20120710,,0.007512264
19,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,19,Millmerran to Middle Ridge,Operational,330,Queensland,5,20120710,,0.924440691
20,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,20,Braemar to Bulli Creek,Operational,330,Queensland,5,20120710,,0.830194011
21,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,21,Bulli Creek to Dumaresq,Operational,330,Queensland,5,20120710,,1.524833773
22,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,22,Bulli Creek to Millmerrin,Operational,330,Queensland,5,20120710,,0.457672791
23,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,23,Bulli Creek to Millmerrin,Operational,330,Queensland,5,20120710,,0.457672791
24,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,24,Millmerrin Power Station to Millmerrin,Operational,330,Queensland,5,20120710,,0.007512264
25,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,25,Millmerran to Middle Ridge,Operational,330,Queensland,5,20120710,,0.924440691
26,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,26,Chinchilla to Columboola,Operational,132,Queensland,5,20120710,,0.39506391
27,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,27,Chinchilla to Columboola,Operational,132,Queensland,5,20120710,,0.39506391
28,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,28,Tarong to Chinchilla,Operational,132,Queensland,5,20120710,,1.31717149
29,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,29,Callide C Power Station to Calvale,Operational,275,Queensland,5,20120710,,0.012274246
30,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,30,Callide A to Halys,Operational,275,Queensland,3,20160318,,2.907959399
31,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,31,Biloela to Callide A Power Station,Operational,132,Queensland,5,20120710,,0.156260744
32,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,32,Biloela to Biloela Tee,Operational,132,Queensland,5,20120710,,0.017588425
33,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,33,Tarong to Middle Ridge,Operational,110,Queensland,5,20120710,,0.988330457
34,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,34,South Toowoomba Tee to Kearneys Spring,Operational,110,Queensland,5,20120710,,0.032543605
35,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,35,Middle Ridge to South Toowoomba Tee,Operational,110,Queensland,5,20120710,,0.012175203
36,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,36,Middle Ridge to South Toowoomba Tee,Operational,110,Queensland,5,20120710,,0.013331194
37,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,37,Broxburn Tee to Broxburn,Operational,110,Queensland,3,20120710,,0.000273945
38,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,38,Middle Ridge to Warwick,Operational,110,Queensland,5,20120710,,0.692722645
39,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,39,Middle Ridge to Warwick,Operational,110,Queensland,5,20120710,,0.646454147
40,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,40,Tangkam to Dalby,Operational,110,Queensland,5,20120710,,0.500452765
41,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,41,Oakey to Oakey Tee,Operational,110,Queensland,5,20120710,,0.029135653
42,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,42,Oakey Tee to Oakey Power Station,Operational,110,Queensland,5,20120710,,0.011449416
43,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,43,Tangkam to Oakey Tee,Operational,110,Queensland,5,20120710,,0.051436015
44,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,44,Tangkam to Oakey Tee,Operational,110,Queensland,5,20120710,,0.051436015
45,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,45,Oakey Tee to Oakey Power Station,Operational,110,Queensland,5,20120710,,0.011449416
46,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,46,Oakey to Oakey Tee,Operational,110,Queensland,5,20120710,,0.029135653
47,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,47,Braemar to Western Downs,Operational,275,Queensland,5,20130115,,0.263927859
48,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,48,Braemar Power Station to Braemar,Operational,275,Queensland,5,20130115,,0.006819978
49,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,49,North Goonyella to North Goonyella Tee,Operational,132,Queensland,5,20120710,,0.044692132
50,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,50,Kemmis to Nebo,Operational,132,Queensland,5,20120710,,0.305915102
51,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,51,Moranbah to Burton Downs Tee,Operational,132,Queensland,5,20120710,,0.353663597
52,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,52,Moranbah to Mount McLaren,Operational,132,Queensland,3,20120710,,0.607954686
53,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,53,Norwich Park to Norwich Park Tee,Operational,132,Queensland,5,20120710,,0.147696967
54,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,54,Blackwater to Lilyvale,Operational,132,Queensland,5,20120710,,0.63287977
55,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,55,Dysart to Norwich Park Tee,Operational,132,Queensland,5,20120710,,0.356466163
56,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,56,Lilyvale to Norwich Park Tee,Operational,132,Queensland,5,20120710,,0.3137112
57,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,57,Clermont to Barcaldine,Operational,132,Queensland,3,20120710,,2.513383272
58,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,58,Lilyvale to Broadsound,Operational,275,Queensland,5,20120710,,1.04990477
59,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,59,Dingo to Dingo Tee,Operational,132,Queensland,5,20120710,,0.119785547
60,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,60,Blackwater to Rangal,Operational,132,Queensland,5,20120710,,0.059367174
61,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,61,Coppabella to Coppabella Tee,Operational,132,Queensland,5,20120710,,0.247042868
62,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,62,Moranbah to Moranbah South,Operational,132,Queensland,3,20120710,,0.084827491
63,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,63,Baralaba to Dingo Tee,Operational,132,Queensland,5,20120710,,0.711802557
64,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,64,Baralaba to Blackwater,Operational,132,Queensland,5,20130801,,0.72345148
65,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,65,Blackwater to Dingo Tee,Operational,132,Queensland,5,20120710,,0.56473773
66,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,66,Blackwater to Lilyvale,Operational,132,Queensland,5,20120710,,0.632270038
67,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,67,Blackwater to Memooloo,Operational,132,Queensland,5,20160318,,0.692041348
68,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,68,Lilyvale to Gregory,Operational,132,Queensland,5,20120710,,0.043161068
69,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,69,Peak Downs to Peak Downs Tee,Operational,132,Queensland,5,20120710,,0.016646176
70,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,70,Moranbah to Coppabella Tee,Operational,132,Queensland,5,20120710,,0.205079944
71,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,71,Burton Downs to Burton Downs Tee,Operational,132,Queensland,5,20120710,,0.000534445
72,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,72,Coppabella Tee to Nebo,Operational,132,Queensland,5,20120710,,0.665844582
73,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,73,Burton Downs Tee to Kemmis,Operational,132,Queensland,5,20120710,,0.211445014
74,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,74,Nebo 275 to Nebo 132,Operational,275,Queensland,5,20120710,,0.001773051
75,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,75,Nebo to Strathmore,Operational,275,Queensland,5,20120710,,1.503153366
76,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,76,Nebo to Strathmore,Operational,275,Queensland,5,20120710,,1.503040463
77,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,77,Nebo to Strathmore,Operational,275,Queensland,5,20120710,,1.503153366
78,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,78,Collinsville Power Station to Strathmore,Operational,132,Queensland,5,20120710,,0.058990257
79,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,79,Stony Creek to North Goonyella Tee,Operational,132,Queensland,5,20120710,,0.361641239
80,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,80,Collinsville Power Station to Stony Creek,Operational,132,Queensland,5,20120710,,0.81992288
81,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,81,Goonyella Rivers to Moranbah,Operational,132,Queensland,5,20130116,,0.276927854
82,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,82,Newlands to Goonyella Riverside,Operational,132,Queensland,5,20130116,,0.775359674
83,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,83,Lilyvale to Broadsound,Operational,275,Queensland,5,20120710,,1.050168599
84,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,84,Lilyvale to Clermont,Operational,132,Queensland,5,20120710,,0.883941585
85,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,85,Barcaldine to Barcaldine Power Station,Operational,132,Queensland,3,20120710,,0.00219328
86,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,86,Middle Ridge 275 to Middle Ridge 110,Operational,110,Queensland,5,20120710,,0.002940401
87,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,87,Darling Downs Power Station to Braemar,Operational,275,Queensland,5,20130115,,0.006673016
88,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,88,Darling Downs Power Station to Braemar,Operational,275,Queensland,5,20130115,,0.006915554
89,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,89,Darling Downs Power Station to Braemar,Operational,275,Queensland,5,20130115,,0.006673016
90,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,90,Darling Downs Power Station to Braemar,Operational,275,Queensland,5,20130115,,0.006915554
91,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,91,Columboola to Roma,Operational,132,Queensland,5,20120710,,0.023829209
92,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,92,Columboola to Condamine Power Station,Operational,132,Queensland,5,20120710,,0.023829209
93,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,93,Clare South to Kings Creek Tee,Operational,132,Queensland,5,20120710,,0.624289342
94,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,94,Collinsville to Kings Creek Tee,Operational,132,Queensland,5,20120710,,0.401562752
95,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,95,King Creek to Blue Valley,Operational,132,Queensland,5,20120710,,0.168593461
96,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,96,King Creek to King Creek Tee,Operational,132,Queensland,5,20120710,,0.000782483
97,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,97,Strathmore to Ross,Operational,275,Queensland,5,20120710,,0.839749767
98,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,98,Ross to Kidston,Operational,110,Queensland,5,20120710,,2.778108105
99,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,99,Black River to Bohle,Operational,66,Queensland,5,20120710,,0.065273232
100,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,100,Black River to Townsville Power Station,Operational,66,Queensland,5,20120710,,0.060559397
101,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,101,Ross to Yabulu South,Operational,132,Queensland,5,20120710,,0.30384596
102,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,102,Ross to Yabulu South,Operational,132,Queensland,5,20120710,,0.30384596
103,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,103,Alan Sherriff to Garbutt,Operational,132,Queensland,5,20120710,,0.035707967
104,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,104,Alan Sherriff to Garbutt,Operational,132,Queensland,5,20120710,,0.035847953
105,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,105,Bohle to Garbutt,Operational,66,Queensland,5,20120710,,0.078719143
106,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,106,Ross to Townsville South,Operational,132,Queensland,5,20120710,,0.162666019
107,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,107,Townsville South to Townsville Zinc,Operational,132,Queensland,5,20120710,,0.046071932
108,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,108,Townsville South to Townsville Zinc,Operational,132,Queensland,5,20120710,,0.046071932
109,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,109,Mount Stuart Power Station to Townsville South,Operational,132,Queensland,5,20120710,,0.021640834
110,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,110,Mount Stuart Tee to Townsville East,Operational,132,Queensland,5,20120710,,0.074884504
111,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,111,Mount Stuart Power Station to Townsville South,Operational,132,Queensland,5,20120710,,0.021640834
112,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,112,Ross to Chalumbim,Operational,275,Queensland,4,20120710,,2.251959877
113,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,113,Ross to Cairns,Operational,275,Queensland,4,20120710,,2.251959877
114,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,114,Chalumbin to Turkinje,Operational,132,Queensland,5,20120710,,0.917618705
115,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,115,Chalumbin to Turkinje,Operational,132,Queensland,5,20120710,,0.917618705
116,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,116,Woree to Cairns City,Operational,132,Queensland,5,20120710,,0.04239423
117,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,117,Kidston to Georgetown,Operational,110,Queensland,3,20120710,,0.844582311
118,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,118,Ross to Millchester,Operational,132,Queensland,5,20120710,,0.860661501
119,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,119,Garbutt to Aitkenvale,Operational,66,Queensland,5,20120710,,0.04574136
120,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,120,Aitkenvale to Cranbrook,Operational,66,Queensland,5,20120710,,0.038560885
121,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,121,Cranbrook to Dan Gleeson,Operational,66,Queensland,5,20120710,,0.053840371
122,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,122,Woree to Cairns,Operational,132,Queensland,5,20120710,,0.010449326
123,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,123,Woree to Cairns,Operational,132,Queensland,5,20120710,,0.011011379
124,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,124,Cairns Tee to Cairns City,Operational,132,Queensland,5,20120710,,0.030777037
125,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,125,Yalkula Tee to Yalkula,Operational,132,Queensland,5,20120710,,0.004702922
126,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,126,Turkinje to Yalkula Tee,Operational,132,Queensland,5,20120710,,0.434994352
127,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,127,Yalkula Tee to Yalkula,Operational,132,Queensland,5,20120710,,0.004702922
128,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,128,Turkinje to Yalkula Tee,Operational,132,Queensland,5,20120710,,0.435600141
129,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,129,Yalkula Tee to Craiglie,Operational,132,Queensland,5,20120710,,0.30193076
130,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,130,Yalkula Tee to Craiglie,Operational,132,Queensland,5,20120710,,0.30193076
131,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,131,Chalumbin to Woree,Operational,275,Queensland,5,20120710,,1.230819773
132,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,132,Chalumbin to Woree,Operational,275,Queensland,5,20120710,,1.230819773
133,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,133,Turkinje to Woree,Operational,132,Queensland,5,20120710,,0.357401067
134,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,134,Chalumbin to Kareeya Power Station,Operational,132,Queensland,5,20120710,,0.068521736
135,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,135,Chalumbin to Kareeya Power Station,Operational,132,Queensland,5,20120710,,0.068521736
136,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,136,Kareeya Power Station to Tully,Operational,132,Queensland,5,20130711,,0.423410086
